Disease,Symptoms,Causes,Treatment,Precautions
Common Cold,"Runny nose, Sneezing, Cough",Viral infection,"Rest, Hydration, Over-the-counter meds","Wash hands, Avoid cold exposure, Stay hydrated"
Flu,"Fever, Body aches, Chills",Influenza virus,"Antiviral drugs, Rest, Hydration","Flu vaccine, Wash hands, Avoid sick people"
COVID-19,"Fever, Dry cough, Loss of taste/smell",Coronavirus (SARS-CoV-2),"Supportive care, Antiviral drugs, Oxygen therapy","Wear mask, Social distancing, Vaccination"
Asthma,"Shortness of breath, Wheezing, Cough","Allergic reactions, Genetic factors","Inhalers, Avoid allergens, Breathing exercises","Avoid smoke/dust, Carry inhaler, Exercise"
Diabetes,"Frequent urination, Excessive thirst, Fatigue","Insulin resistance, Obesity","Insulin therapy, Diet control, Exercise","Healthy diet, Exercise, Monitor blood sugar"
Hypertension,"High blood pressure, Headache, Dizziness","Genetic, High salt intake, Stress","Lifestyle changes, Medication, Stress management","Low salt diet, Reduce stress, Regular check-ups"
Migraine,"Severe headache, Sensitivity to light, Nausea","Neurological disorder, Stress","Pain relievers, Avoid triggers, Rest","Avoid loud noise, Reduce caffeine, Manage stress"
Dengue,"High fever, Joint pain, Skin rash",Mosquito bite (Aedes),"Fluids, Pain relievers, Platelet monitoring","Avoid mosquito bites, Use repellents, Clean surroundings"
Typhoid,"High fever, Abdominal pain, Weakness",Bacterial infection (Salmonella),"Antibiotics, High-calorie diet, Hydration","Drink clean water, Avoid street food, Vaccination"
Tuberculosis,"Persistent cough, Chest pain, Weight loss",Bacterial infection (Mycobacterium tuberculosis),"Long-term antibiotics, Isolation, Vaccination","Wear mask, Proper ventilation, Get tested early"
Pneumonia,"Cough, Fever, Shortness of breath",Bacterial or viral infection,"Antibiotics (for bacterial), Rest, Hydration","Vaccination, Good hygiene, Avoid smoking"
Hepatitis,"Jaundice, Fatigue, Abdominal pain","Hepatitis virus (A, B, C, D, E)","Antiviral drugs, Supportive care","Avoid contaminated food/water, Get vaccinated"
HIV/AIDS,"Weight loss, Fever, Night sweats",HIV virus,Antiretroviral therapy (ART),"Safe sex, Regular HIV testing"
Malaria,"Fever, Chills, Sweating",Plasmodium parasite (mosquito-borne),"Antimalarial drugs, Mosquito prevention","Mosquito nets, Antimalarial drugs, Clean surroundings"
Chronic Obstructive Pulmonary Disease (COPD),"Breathlessness, Chronic cough, Fatigue","Smoking, Air pollution, Genetic factors","Inhalers, Oxygen therapy, Lifestyle changes","Avoid smoking, Air pollution control, Medication"
Bronchitis,"Cough with mucus, Chest discomfort",Viral or bacterial infection,"Fluids, Rest, Anti-inflammatory drugs","Wash hands, Avoid irritants"
Lung Cancer,"Persistent cough, Chest pain, Weight loss",Uncontrolled lung cell growth,"Surgery, Chemotherapy, Radiation therapy","Avoid smoking, Regular checkups"
Heart Attack,"Chest pain, Shortness of breath, Fatigue",Blocked coronary artery,"Aspirin, Beta-blockers, Angioplasty","Healthy diet, Exercise, Avoid smoking"
Stroke,"Sudden numbness, Confusion, Trouble speaking",Blocked or burst blood vessel in brain,"Clot-busting drugs, Surgery","Manage blood pressure, Healthy diet"
Atherosclerosis,"Chest pain, High cholesterol, Hypertension",Plaque buildup in arteries,"Statins, Lifestyle changes, Surgery","Regular exercise, Low cholesterol diet"
Epilepsy,"Seizures, Loss of consciousness, Unusual behavior",Abnormal brain activity,"Anti-seizure medication, Lifestyle changes","Avoid triggers, Take prescribed meds"
Parkinson’s Disease,"Tremors, Slow movement, Stiffness",Loss of dopamine-producing neurons,"Dopamine replacement therapy, Physical therapy","Regular exercise, Healthy diet"
Alzheimer’s Disease,"Memory loss, Confusion, Personality changes",Plaque buildup in the brain,"Cognitive therapy, Medications","Memory exercises, Social interaction"
Multiple Sclerosis (MS),"Muscle weakness, Vision problems, Coordination loss",Immune system attacks nerves,"Immunotherapy, Physical therapy","Regular medical checkups, Balanced diet"
Gastritis,"Stomach pain, Nausea, Vomiting","H. pylori bacteria, Excess stomach acid","Antacids, Antibiotics, Lifestyle changes","Healthy diet, Reduce stress"
Irritable Bowel Syndrome (IBS),"Abdominal pain, Bloating, Diarrhea","Unknown, Possibly gut-brain interaction","Dietary changes, Stress management","Avoid trigger foods, Stress management"
Acid Reflux (GERD),"Heartburn, Regurgitation, Chest pain","Weak esophageal sphincter, Acid reflux","Antacids, Lifestyle changes","Avoid spicy foods, Elevate head while sleeping"
Gallstones,"Sharp abdominal pain, Nausea, Indigestion","Bile imbalance, High cholesterol","Surgery, Medications","Healthy diet, Maintain a healthy weight"
Liver Cirrhosis,"Fatigue, Jaundice, Weight loss","Chronic alcohol use, Hepatitis, Fatty liver","Liver transplant, Lifestyle changes","Avoid alcohol, Healthy lifestyle"
Thyroid Disorders,"Fatigue, Weight changes, Mood swings","Autoimmune response, Iodine deficiency","Hormone therapy, Medications","Regular checkups, Healthy diet"
Obesity,"Excessive body fat, Breathlessness, Fatigue","Excess calorie intake, Lack of exercise","Dietary changes, Exercise, Medication","Balanced diet, Regular exercise"
Osteoporosis,"Bone fractures, Back pain, Height loss","Calcium and Vitamin D deficiency, Aging","Calcium & Vitamin D supplements, Weight-bearing exercise","Weight-bearing exercises, Calcium-rich diet"
Acne,"Pimples, Oily skin, Blackheads","Clogged pores, Hormonal changes, Bacteria","Topical creams, Antibiotics","Clean skin regularly, Avoid greasy products"
Eczema,"Itchy skin, Red rashes, Dry patches","Genetic, Environmental triggers","Moisturizers, Anti-inflammatory creams","Moisturize skin, Avoid allergens"
Psoriasis,"Scaly patches, Skin redness, Itching",Immune system attack on skin cells,"Immunosuppressants, Topical treatments","Avoid skin injuries, Use medicated creams"
Fungal Infections,"Ring-shaped rash, Itching, Peeling skin",Fungal infection of skin,"Antifungal creams, Medications","Keep skin dry, Maintain hygiene"
Rheumatoid Arthritis,"Joint pain, Swelling, Stiffness",Autoimmune attack on joints,"Anti-inflammatory drugs, Physical therapy","Maintain healthy lifestyle, Exercise"
Lupus,"Fatigue, Joint pain, Skin rashes",Autoimmune attack on multiple organs,"Immunosuppressants, Lifestyle changes","Avoid sun exposure, Healthy diet"
Celiac Disease,"Diarrhea, Bloating, Malnutrition",Immune reaction to gluten,Gluten-free diet,"Avoid gluten, Eat balanced diet"
Breast Cancer,"Lump in breast, Nipple discharge, Skin dimpling","Genetic mutations, Hormonal factors","Surgery, Chemotherapy, Radiation","Regular checkups, Early detection"
Prostate Cancer,"Frequent urination, Painful ejaculation, Blood in urine","Genetic, Age, Hormones","Hormone therapy, Surgery, Radiation","Regular screenings, Healthy diet"
Colorectal Cancer,"Change in bowel habits, Abdominal pain, Blood in stool","Genetic, Diet, Lifestyle","Surgery, Chemotherapy, Targeted therapy","Regular exercise, Colonoscopy screening"
Leukemia,"Fatigue, Fever, Frequent infections",Abnormal white blood cell production,"Chemotherapy, Bone marrow transplant","Blood tests, Chemotherapy"
